,이름,설명
31,권성동,"법제사법위원회(위원장)
자유한국당
강원 강릉시 / 3선

검사, 변호사 출신
검찰, 범죄예방에 관심이 많아요.

탄핵소추위원으로서 활약했어요.

강원랜드 청탁비리건에 연루되어 있어요.
"
6,금태섭,"여성가족위원회  / 법제사법위원회(간사)
더불어민주당
비례대표 / 서울 강서구갑

검사, 변호사 출신
검찰개혁, 여성문제에 관심이 많아요.

미투공작을 정면 비판한 열혈 페미니스트에요.
국회의원 300명에게 ’82년생 김지영’을 자비로 선물했어요.

SNS를 활발히 해요. 
발연기의 대가에요.(문재인 1번가 홍보영상 - https://youtu.be/8mKZ9xM1Hvs)
유튜브채널 ‘금태섭TV’를 운영중이에요.
"
32,김진태,"법제사법위원회(간사)
자유한국당
강원 춘천시 / 2선

검사, 변호사 출신
법원조직, 성범죄방지에 관심이 많아요.

별명 : 춘천 트럼프
서울대학교 ‘부끄러운 동문상’에 뽑혔어요.

로스쿨 폐지 및 사법시험 존치를 주장하고 있어요.
아동 성범죄 처벌 강화법을 통과시켰어요.
"
33,오신환,"법제사법위원회(간사) / 국회운영위원회
바른미래당
서울 관악구 을 / 2선

(현) 바른미래당 원내수석부대표
예술인 복지, 성범죄 처벌에 관심이 많아요.

유일한 배우 출신 국회의원(장동건과 동기)이에요.
무한도전 출연
사법시험 부활을 주장하고 있어요.
"
34,박범계,"법제사법위원회
더불어민주당
대전 서구 을 / 2선

판사 출신
사법개혁에 관심이 많아요.

별명: 박뿜계(최순실 청문회 당시 뜬금없이 웃음 터짐)
평소에는 소리도 많이 치고 다혈질 스타일이라 ‘박뿔계’로 불려요.
"
7,박주민,"여성가족위원회 / 법제사법위원회
더불어민주당
은평구갑 / 1선

세월호피해자가족협의회 법률대리인
사회적참사법을 대표 발의하고 통과시켰어요.
국회의원 소환법을 발의했어요.
안전, 민주주의 실현에 관심이 많아요. 

무한도전에 출연했어요. 
별명 : 거지갑, 스마트거지, 바리바리 박주바리

일주일에 1번꼴로 법안을 발의하는 일 중독때문에 불쌍한 몰골을 보여서 ‘거지갑’으로 불려요.
1주일에 1,2회씩 페이스북 계정에 영상을 업로드해요.(현안 읽어주는 남자, 법 읽어주는 남자)

‘돈달라는 남자’ 후원금 구걸영상으로 40시간 만에 3억원을 채운 레전드를 갖고 있어요.
2017년 의원 후원금 1위에 등극했어요.
"
35,백혜련,"법제사법위원회
더불어민주당
경기 수원시 을 / 1선

검사 출신
아동, 청소년 보호에 관심이 많아요.

드라마 ‘아현동 마님’의 실제 모델이에요.
청와대의 어버이연합 지원에 대한 진상규명을 주도했어요.
"
36,이춘석,"법제사법위원회
더불어민주당
전북 익산시 갑 / 3선

더불어민주당 사무총장
복지(아동,노인,장애인)에 관심이 많아요.
"
37,정성호,"법제사법위원회
더불어민주당
경기 양주시 / 3선

변호사 출신
(현) 지방선거 공천관리위원장
보수성향이 강한 경기북부지역에서 민주당 출신으로 3선 유지
사법개혁에 관심이 많아요.

별명 : 영국신사(실력과 인품을 좋게 평가받음)
"
38,조응천,"법제사법위원회 / 국회운영위원회 / 정보위원회
더불어민주당
경기 남양주시 갑 / 1선

검사, 변호사 출신
김대중, 노무현, 이명박, 박근혜 정부 까지 이념과 성향에 달리 주요 요직을 맡아왔어요.
경찰개혁에 관심이 많아요.

정윤회 문건 사건으로 축출된 뒤에 ‘별주부짱’이라는 횟집을 운영했어요. 

SNS에서 격의없고 소탈한 모습을 보이고 있어요.
별명 : 뽀응천, 별주부짱 매니저, 셔터맨
페이스북에 서슴없는 드립(?)을 자연스럽게 구사해요.
바른미래당 김동철 의원과 대학동기에요.
"
39,여상규,"법제사법위원회
자유한국당
선거구 : 경남 사천,남해,하동군 / 3선

판사 출신
80년대 군부독재 당시 공안판사

그동안 발의한 법안이 1개에요. (법원조직법)
SBS ‘그것이 알고싶다’와의 인터뷰에서 ‘웃기고 앉아있네‘라는 발언을 했어요.
"
40,윤상직,"법제사법위원회
자유한국당
부산 기장군 / 1선

행정고시 출신
(전)산업통상자원부 장관
공정거래, 상법에 관심이 많아요.
"
41,정갑윤,"법제사법위원회
자유한국당
울산 중구 / 5선

19대 국회 부의장
조세에 관심이 많아요.

18대 국회 윤리특별위윈회 위원장 당시 ‘강용석’ 국회의원을 성희롱 혐의로 제명했어요.
"
42,주광덕,"법제사법위원회 / 국회운영위원회
자유한국당
경기 남양주시 병 / 2선

검사, 변호사 출신
(전)산업통상자원부 장관
형법에 관심이 많아요.

음주운전 사망사고를 살인과 같은 형량으로 처벌하는 법안을 발의했어요. (국민 여론 환영)

최초로 의원이 대법원장을 고소했어요.(사법부 블랙리스트 조사 중 PC를 강제로 개봉했다는 이유로)
"
43,박지원,"법제사법위원회
민주평화당
전남 목포 / 4선

강길부 의원과 함께 20대 국회 최고령의원
김대중 정부 당시 공보수석, 문화관광부 장관, 대통령 비서실장 역임
당시주요요직을 겸해서 代통령으로 불렸어요.

평양 초대 대사를 노리냐는 말에 쿨하게 ‘할 수 있다면 하겠다’고 응답했어요.

정치적 감각과 메시지 전달, 정보력이 뛰어나다는 평가를 받아요.
홍준표 대표도 정치적 감각을 높게 평가했어요.
별명 : 정치 9단, 정치 알파고, 정치 머신, 여의도의 요물, 동교동계 수장
"
44,이용주,"법제사법위원회
민주평화당
전남 여수시 갑 / 1선

검사, 변호사 출신

청문회 때 조윤선 전 장관을 무력화시킨 18단 샤우팅으로 유명해요. ( 무명 신인 국회의원의 인지도를 전국적으로 올린 사건)
심지어 조윤선보다 사법연수원 후배였어요.!
무한도전 국민의원 출연
국회의원 다선 금지법을 발의했어요.
"
